Column,  (Number) from top,"Year, Vintage, or NV",Name,Type
24.0,16,2000,Reserve de la Comtesse - Pauillac,B
24.0,17,2000,Reserve de la Comtesse - Pauillac,B
24.0,18,2000,Reserve de la Comtesse - Pauillac,B
24.0,19,2000,Reserve de la Comtesse - Pauillac,B
24.0,20,2000,Reserve de la Comtesse - Pauillac,B
24.0,21,2000,Reserve de la Comtesse - Pauillac,B
24.0,22,2000,Reserve de la Comtesse - Pauillac,B
24.0,23,2000,Reserve de la Comtesse - Pauillac,B
24.0,24,,,
24.0,25,,,
,,,,
,,,,
,,Column 25,,
,,,,
,No,,,
25.0,1,,,
25.0,2,,,
25.0,3,,,
25.0,4,1995,Pavillon Rouge du Margaux,B
25.0,5,1995,Pavillon Rouge du Margaux,B
25.0,6,1995,Pavillon Rouge du Margaux,B
25.0,7,1995,Pavillon Rouge du Margaux,B
25.0,8,1995,Pavillon Rouge du Margaux,B
25.0,9,1995,Pavillon Rouge du Margaux,B
25.0,10,1995,Pavillon Rouge du Margaux,B
25.0,11,1995,Pavillon Rouge du Margaux,B
25.0,12,1995,Pavillon Rouge du Margaux,B
25.0,13,1988,L'Angelus - Saint Emilion,B
25.0,14,1988,L'Angelus - Saint Emilion,B
,,,,
25.0,15,1994,Pichon Longueville Comtesse de Lalande - Pauillac,B
25.0,16,1994,Pichon Longueville Comtesse de Lalande - Pauillac,B
25.0,17,1994,Pichon Longueville Comtesse de Lalande - Pauillac,B
25.0,18,,,
25.0,19,,,
25.0,20,1986,Poujeaux Moulis en Medoc ,B
25.0,21,1986,Poujeaux Moulis en Medoc ,B
25.0,22,1986,Poujeaux Moulis en Medoc ,B
25.0,23,1986,Poujeaux Moulis en Medoc ,B
25.0,24,1988,Leoville Barton Saint Julien,B
25.0,25,1988,Leoville Barton Saint Julien,B
,,,,
,,,,
,,Column 26,,
,,,,
,No,,,
26.0,1,,,
26.0,2,,,
26.0,3,,,
26.0,4,,,
26.0,5,,,
26.0,6,1995,Les Fort du Latour - Pauillac,B
26.0,7,1995,Les Fort du Latour - Pauillac,B
26.0,8,1995,Les Fort du Latour - Pauillac,B
26.0,9,1995,Les Fort du Latour - Pauillac,B
26.0,10,1995,Les Fort du Latour - Pauillac,B
26.0,11,1995,Les Fort du Latour - Pauillac,B
26.0,12,1995,Les Fort du Latour - Pauillac,B
